Start Date,End Date,Program Title,Faculty Director,Term,Number of Participants,Country,Countries Visited,Photos
1983/1,1983/03,"Political Science Seminar In Washington, D.C.",Steven Schier,Winter,23,USA,USA
1983/03,1983/06,Reformation Seminar In Marburg,Richard Crouter,Spring,19,Germany,Germany
1983/1,1983/03,Spanish Seminar In Morelia,Leah Hewitt,Winter,20,Mexico,Mexico
1983/06,1983/08,Economics Seminar In Cambridge,Martha Paas,Summer,21,UK,UK
1984/1,1984/03,English Seminar In London,George Soule,Winter,26,UK,UK
1984/03,1984/06,French Language In Pau I,Debbie Glassman,Spring,24,France,France
1984/03,1984/06,French Language In Pau II,Gail Schwab,Winter/Spring,9,France,France
1984/1,1984/03,Geology In Death Valley,Mary Savina & M. Hempton,Winter,24,USA,USA
1983/08,1983/11,German Seminar In Nuremberg,Roger Paas,Fall,20,Germany,Germany
1983/06,1983/08,International Relations Seminar In Geneva,Hartley Clark,Summer,25,Switzerland,Switzerland
1983/08,1983/11,Marine Biology Seminar In California,Gary Wagenbach,Fall,22,USA,USA
1984/1,1984/03,Spanish Seminar In Morelia,Becky Boling,Winter,9,Mexico,Mexico
1984/08,1984/11,Art History In Greece,Dale Haworth,Fall,22,Greece,Greece
1984/06,1984/08,Economics Seminar In Cambridge,Martha Paas,Summer,21,UK,UK
1984/08,1984/11,English Seminar In London,Wayne Carver,Fall,25,UK,UK
1985/03,1985/06,French Language In Pau I,Dana Strand,Spring,25,France,France
1985/03,1985/06,French Language In Pau II,Virginia Marino,Winter/Spring,11,France,France
1985/1,1985/03,"Political Science Seminar In Washington, D.C.",Steven Schier,Winter,25,USA,USA
1985/1,1985/03,Spanish Seminar In Morelia,Becky Boling,Winter,17,Mexico,Mexico
1985/08,1985/11,English Seminar In London,John Schott,Fall,24,UK,UK
1986/03,1986/06,French Language In Pau I,Geneviève Soulas-Link,Spring,25,France,France
1986/03,1986/06,French Language In Pau II,Joe Krause,Winter/Spring,12,France,France
1986/1,1986/03,Geology In Death Valley,Mary Savina,Winter,24,USA,USA
1985/08,1985/11,German Seminar In Trier,Richard Cantwell,Fall,20,Germany,Germany
1986/03,1986/06,Interdisciplinary Seminar In Vienna,Anne Ulmer,Spring,21,Austria,Austria
1985/06,1985/08,International Relations Seminar In Geneva,Hartley Clark,Summer,26,Switzerland,Switzerland
1986/03,1986/06,Marine Biology Seminar In California,Gary Wagenbach,Spring,25,USA,USA
1986/1,1986/03,Spanish Seminar In Morelia,Becky Boling,Winter,13,Mexico,Mexico
1986/06,1986/08,Economics Seminar In Cambridge,George Lamson,Summer,21,UK,UK
1986/08,1986/11,English Seminar In London,Frank Morral,Fall,25,UK,UK
1987/03,1987/06,French Language In Pau I,Chérif Keïta,Spring,22,France,France
1987/03,1987/06,French Language In Pau II,Joe Krause,Winter/Spring,4,France,France
1986/08,1986/11,German Seminar In West Berlin,Sigrun Leonhard,Fall,20,Germany,Germany
1987/1,1987/03,"Political Science Seminar In Washington, D.C.",Steven Schier,Winter,20,USA,USA
1987/1,1987/03,Spanish Seminar In Morelia,Becky Boling,Winter,14,Mexico,Mexico
1987/08,1987/11,Art History In Greece,Dale Haworth,Fall,22,Greece,Greece
1987/06,1987/08,Economics Seminar In Cambridge,Stephen Strand,Summer,21,UK,UK
1987/08,1987/11,English Seminar In London,Ruth Weiner,Fall,25,UK,UK
1988/03,1988/06,French Language In Pau I,Françoise Defrecheux,Spring,22,France,France
1988/03,1988/06,French Language In Pau II,Joe Krause,Winter/Spring,18,France,France
1988/03,1988/06,German Seminar In Munich,Julie Klassen,Spring,20,Germany,Germany
